NODE_ID,NODE_NAME,PARENT,SENTIMENT_SCORE,TOTAL_DOCUMENTS,DETRACTOR_DOCUMENTS,DETRACTOR_SENTIMENT,PROMOTER_DOCUMENTS,PROMOTER_SENTIMENT,NEUTRAL_DOCUMENTS,NEUTRAL_SENTIMENT
136097,Store Quality,136064,0.785777578,319345,44696,-0.877478153,208132,1.308594281,66517,0.274582715
136104,10 Foot Rule,81870,-0.056310683,483762,94724,-0.661399995,250451,0.239874292,138587,-0.165583511
136107,Friendliness,136104,0.538886117,264779,55349,-0.48944205,134993,1.024598353,74437,0.44190219
136113,Greeting,136104,-0.093146582,106385,17006,-0.32401325,60698,0.011746405,28681,-0.177631797
136119,Sufficient Floor Staff,136104,-1.016775441,146360,29890,-1.06377156,70716,-0.97307133,45754,-1.053150125
136136,Above & Beyond,81870,0.403949824,205341,45798,-0.82365372,108742,1.100267043,50801,0.026098126
136139,Above & Beyond,136136,0.969458329,10050,1619,0.469191764,6115,1.224705045,2316,0.645752896
136144,Quality of Staff,136136,0.381564229,197035,44450,-0.863583376,103763,1.098047124,48822,0.001885518
136170,Staff Competencies,81870,0.024221783,671161,157616,-0.709644592,325754,0.485964436,187791,-0.120647724
136173,Attitude,136170,0.403852687,457191,102921,-0.577229696,229423,0.945702885,124847,0.257269472
136180,Communication Skills,136170,-0.810505319,14080,4995,-0.964973812,4914,-0.627920337,4171,-0.839054114
136187,Helpfulness,136170,-0.163974229,265697,59373,-0.737835822,133194,0.220495758,73130,-0.387779825
136193,Knowledge,136170,-0.238483516,94681,29464,-0.724698766,38451,0.208332267,26766,-0.33538607
136207,Listening,136170,-0.745528091,5791,1734,-1.013219783,2693,-0.55026625,1364,-0.790609137
136213,Finding Items,81873,-0.728863355,794269,171885,-1.072914005,377796,-0.47196805,244588,-0.849650415
136216,As Advertised,136213,-1.105336345,6616,1983,-1.274076599,2723,-0.957438092,1910,-1.139348501
136233,Finding Items,136213,-0.08509695,162817,27092,-0.835204868,89243,0.273372448,46482,-0.328875063
136242,Product Availability,136213,-0.879053,648444,150409,-1.114171251,294282,-0.685736391,203753,-0.961111843
136257,New Merchandise,136213,-0.26582065,9189,1677,-0.708111308,4703,-0.012265246,2809,-0.426106312
136268,Product Selection,81873,-0.287844697,549238,100036,-0.765153293,275981,-0.007863918,173221,-0.445668836
136276,Features/Functionality,136268,0.005989526,13614,2242,-0.647355024,7647,0.245506695,3725,-0.091733333
136288,Quality/Reliability,136268,-0.785789748,84551,18975,-1.129580578,38103,-0.536896048,27473,-0.889699798
136315,Deals,81876,0.09115574,80682,15678,-0.486817441,42995,0.345528162,22009,0.05634524
136318,Coupons,136315,-0.567922762,32834,8897,-0.773721415,15035,-0.432386888,8902,-0.55591875
136323,Discounts,136315,0.574001535,49510,7106,-0.041762986,28805,0.767645163,13599,0.489428929
136328,Lowest Prices,81876,-0.260286967,20394,4853,-0.720335552,10478,-0.016710957,5063,-0.283093641
136331,Financing,136328,-0.400523924,7514,1257,-0.742568729,4472,-0.295574846,1785,-0.39947644
136337,Price Matching,136328,-0.178320831,12903,3604,-0.712019348,6016,0.193592955,3283,-0.219528155
136342,Returns & Refunds,81876,-0.694539776,40144,13972,-1.05540547,15822,-0.30597316,10350,-0.76655692
136345,Exchanges,136342,-0.661253177,2940,1181,-1.029830639,1095,-0.180240175,664,-0.763494318
136350,Fees,136342,-0.556265207,767,212,-0.747282609,365,-0.400130548,190,-0.632177033
136355,Refunds,136342,-1.405702117,2893,1568,-1.572071731,715,-1.087737127,610,-1.342219589
136360,Returns,136342,-0.652355973,35305,11829,-1.007091693,14192,-0.279041675,9284,-0.742121691
136368,Value for the Money,81876,0.191113986,627269,107671,-0.456325595,344382,0.498160518,175216,0.021551412
136371,Pricing/Value,136368,0.193572671,625522,107216,-0.454701099,343556,0.500730469,174750,0.02341595
136377,Rebates,136368,-0.595858896,294,82,-0.805825243,153,-0.470679012,59,-0.573770492
136382,Warranty,136368,-0.47234612,1057,376,-0.84847561,430,-0.087416481,251,-0.543416031
207035,Express Lanes,81613,-0.847636874,15239,4911,-0.906990464,5934,-0.777757443,4394,-0.874101111
329884,In-Store Navigation,136064,-0.614270476,72582,12288,-1.019572983,37554,-0.39961224,22740,-0.747709948
330132,Pros/Cons,136368,-0.71631691,813,132,-0.618936567,426,-0.72021028,255,-0.760096154
330167,Variety,136268,-0.20831633,356983,59444,-0.696094542,182521,0.070398772,115018,-0.389314088
330225,Samples and Testers,136268,-0.511595912,6522,504,-0.738701923,4540,-0.483042427,1478,-0.521457086
330313,Style/Design,136268,-0.224966519,119272,25865,-0.695879596,57232,0.079128998,36175,-0.361739382
697609,Customer Service General Mentions,81870,0.027156125,127735,30600,-0.607985947,63482,0.438332375,33653,-0.157914783
