NODE_ID,NODE_NAME,parent,OSAT,SENTIMENT_SCORE,TOTAL_DOCUMENTS
1924979,Order,1924967,3.577167019,-0.667679704,396
1927244,Product Features,1915106,4.056818182,-0.356297348,234
1926823,Live Person,1923035,3,0.55,9
1927216,Product Selection,1915106,4.171052632,-0.089912281,216
1925409,Information Access,1925404,3.613013699,-0.246361301,261
1915099,Partner Team,1915071,4.090497738,0.799773756,208
1915177,Replacement,1915106,3.841509434,-0.62004717,443
1914988,Support Helpfulness,1914931,3.942643392,0.143235661,376
1923080,Transferred,1923035,3,-0.495495495,96
1915038,Login,1915033,3.505747126,-0.870689655,74
1915045,Training,1915033,3.842105263,-0.144736842,35
1915062,Website Usability,1915033,3.891713748,-0.731579567,937
1925404,Problem Resolution,1914780,3.902988215,0.393426452,3744
1925658,Activation,1925644,3.035714286,-0.901785714,51
1925680,Checking Order Status,1925644,3.68627451,-0.096813725,96
1925722,Needs Parts,1925644,3.892473118,-0.633064516,86
1924948,Corporate - Marketing,1914780,3.858490566,-0.184433962,448
1925549,Product User Interface,1925475,3.729299363,-0.369426752,261
1924987,Rebate,1924967,4.28,-0.57,22
1925936,Web-Performance,1925874,3.859649123,-1.043640351,268
1925989,Web-Userfriendliness,1925874,3.965665236,-1.33623927,427
1925503,Product Packaging,1925475,3.872037915,-0.497630332,185
1923166,Live Chat,1923133,3.48,-0.28,22
1925808,Thermal Event,1925738,3.538461538,-0.115384615,12
1914829,Team Communication,1914784,3.787096774,-0.304032258,288
1914931,Customer Support,1914780,3.959966869,-0.004184498,4915
1915162,Licensing,1915106,3.995583039,-1.130576413,778
1915169,Price/ Cost,1915106,3.982314694,-0.155689207,2835
1923035,Communications,1914780,3.54351145,-0.589122137,553
1923048,Disconnected,1923035,3.4375,-1.05078125,29
1923055,Hold Time,1923035,3,-1.701923077,24
1923068,Multiple Attempts,1923035,3.222222222,-1.055555556,33
1915134,EOL,1915106,3.733990148,-0.573275862,170
1925644,Reasons for Calling,1914780,3.823638042,0.023949677,941
1925568,Product Assembly,1925563,3.772727273,-0.351799242,240
1925847,Product Suggestions,1925816,4.062015504,-0.108042636,481
1925856,Staff Suggestions,1925816,3.81292517,-0.28380102,803
1925595,Product Installation,1925563,3.936639118,-0.128960055,321
1925926,Web-Login Issues,1925874,3.551724138,-0.960775862,128
1925450,Rep. Apologize,1925404,2.75,-1.75,7
1914797,Follow Up,1914784,3.472222222,0.3125,35
1925617,Product Performance,1925563,3.822580645,0.084677419,120
1923088,Trouble Understanding,1923035,3.708045977,-0.505747126,379
1925891,Web-Browsing/Navigating,1925874,3.933609959,-0.899636929,218
