PRIMARY_CAT,REL_CAT,COOC,SENTIMENT
Returns,Measures,11,-0.818181818
,,,
Self-Checkout,Candy,52,-0.692307692
,,,
Patio,Sufficient Registers,17,-1.197368421
,,,
As Advertised,Video Games,12,-1.291666667
,,,
Returns,Oil & Fluids,33,-0.610294118
,,,
,,,
Design,Hair Care,12,-0.482142857
,,,
,,,
,,,
,,,
Frozen Bakery,Speed of Service,17,-0.676470588
,,,
,,,
,,,
,,,
,,,
Wall Hangings,Design,14,0.428571429
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Speed of Service,Target,814,-0.77165986
On Display,Periodicals,124,-0.603860294
Bagging,Other Produce,1201,-0.877494457
Pricing/Value,Fruit,7688,-0.09344022
Discounts,Soft Drinks,164,0.181818182
Product Availability,Cell Phones,634,-0.947585729
Pudding & Jello,Pricing/Value,98,-0.410714286
Atmosphere,Bakery Department,28,0.048387097
Promotions,Sufficient Floor Staff,1254,-0.656463255
Print,Variety,156,-0.688970588
Bakery Department,Store Quality,589,-0.11403778
Store Quality,Hunting,527,0.395939086
Tops,Room to Shop,35,-0.948717949
,,,
Web,Product Availability,105,-0.518442623
Willingness to Recommend,Design,27,0.293103448
Pharmacy Department,Listening,115,-0.391949153
Tidiness,Freezer Department,350,-0.941011236
Cigarettes,Store Quality,49,-0.894607843
Eyes,Variety,47,-1.087719298
Attitude,Lighting & Fans,84,-0.065340909
Attitude,Grains & Rice,50,0.5
Checkout Wait Time,Reputation,184,-1.156810036
Friendliness,Halloween,48,0.413265306
Bakery Department,Design,21,-0.303571429
Quality of Staff,Pork,40,0.327380952
,,,
Canned Proteins,Pricing/Value,107,-0.432765152
Finding Items,Skin Care,163,-0.850446429
Helpfulness,Food & Formula,54,-0.199074074
,,,
,,,
Paper,Sufficient Registers,27,-0.830357143
Home Audio & Theater,Tidiness,20,-1.170454545
,,,
Heating/Cooling,Injury,14,-1.482142857
Room to Shop,Auto Service,37,-1.388157895
Finding Items,Cell Phones,89,-0.460674157
Product Availability,Swimwear,24,-0.42
Oral Care,Speed of Service,56,-0.915254237
,,,
,,,
,,,
,,,
Honesty / Trust,Features/Functionality,26,0.018518519
,,,
Camping,Returns,50,-1.016393443
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Grill,Refunds,12,-0.826923077
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Style/Design,Milk & Cream,1494,-0.683024328
Variety,Other Produce,16499,-0.573430921
Bagging,Bread,447,-0.795131579
Product Availability,Nails,182,-1.037326389
Promotions,New Merchandise,213,0.309579439
TV & Video,Style/Design,528,-0.149758454
Pricing/Value,Meats,676,-0.30220341
Easter,Quality of Staff,40,0.005813953
Storage,Sufficient Floor Staff,1136,0.632190507
Willingness to Recommend,Product Availability,1505,-0.149572095
Checkout Wait Time,Soup,60,-1.413888889
Concerns,On Display,232,-0.783173077
Tidiness,Candy,138,-1.507042254
Water,Product Availability,865,-0.994633274
Layout Consistency,Body Care,35,0.222222222
Vegetable,Coupons,136,-0.541935484
Cart Quality,Auto Service,36,-1.069444444
Lips,On Display,36,-0.697368421
Quality of Staff,Salad Dressing,24,0.830729167
Poultry,Attitude,469,-0.516624579
Books,Greeting,223,0.4489721
Watches,Speed of Service,142,-1.011363636
Sufficient Floor Staff,Honesty / Trust,111,-0.7
Grill,Speed of Service,172,-1.224153298
Friendliness,Peanut Butter,18,0.190789474
Quality of Staff,Other OTC Meds,43,0.406976744
Finding Help,Halloween,37,-0.819078947
Stove & Oven,On Display,45,-0.604166667
Books,Restrooms General,25,-0.288461538
Sufficient Floor Staff,Photo Center General,305,-1.191082803
Finding Items,Gasoline,73,-0.792808219
Tidiness,Hunting,244,-1.105048077
Shopping Efficiency,Drapery,17,0.347222222
Greeting,Body Care,36,-0.176829268
Helpfulness,Gifts,16,0.328125
Other Chemicals,Checkout Wait Time,22,-0.87
Samples and Testers,Skin Care,19,-0.2875
Helpfulness,Watches,156,-0.266613924
Handicap Ready,Communication Skills,74,-0.8265625
,,,
,,,
Sports,Cart Availability,69,-1.25528169
,,,
Fruit,Store Pickup,14,-0.419642857
Ice Cream & Novelties,Returns,46,-0.630208333
Kitchen,Receipt & Payment,11,-1.041666667
Bagging,Crafting,11,0.0625
Fabric,Noise,24,-0.788194444
,,,
Bagging,Frozen Bakery,10,0.2625
New Merchandise,Tires,15,-0.181818182
,,,
Seafood,Layout Consistency,15,-0.7375
Discounts,Oil & Fluids,16,0.680555556
,,,
Reputation,Returns,26,-0.648148148
,,,
,,,
Restrooms General,Bathroom Materials,10,-0.6
Layout Consistency,Spices,11,-1.727272727
,,,
Sufficient Floor Staff,Undergarments,14,-0.875
Returns,Tools,12,-0.490384615
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Restrooms General,CDs,12,-0.1875
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Computers,Attitude,975,-0.459494076
Bathroom,Pricing/Value,964,-0.450927409
Photo Center General,Attitude,461,-0.170288086
Honesty / Trust,Checkout Wait Time,271,-0.820702671
Kitchen,Room to Shop,134,-1.266267123
Expectations,Sufficient Registers,1337,-0.653473614
Fitting Rooms,Concerns,57,-0.774364407
Cleanliness,Liability,248,-0.93452381
Helpfulness,Pillows,28,-0.15625
Business Hours,Fruit,75,-0.607352941
Wall Hangings,Pricing/Value,318,0.133896396
,,,
Sufficient Registers,Valentines,91,-1.365591398
Sufficient Floor Staff,Bread,138,-1.048275862
Quality/Reliability,Injury,399,-0.89453748
,,,
Non-Actionable,Features/Functionality,49,0.12244898
Attitude,Watches,118,0.116525424
Cookies,On Display,87,-0.248697917
Finding Help,Grill,82,-0.849431818
,,,
Helpfulness,Patio,43,-0.201704545
Earrings,Staff Appearance,47,-0.535
Bikes & Riding Toys,Greeting,22,-0.076086957
Sufficient Floor Staff,Stove & Oven,10,-1.2
Room to Shop,Lighting & Fans,39,-1.529761905
Miscellaneous Automotive Parts,On Display,15,-0.9
Shaving,Quality/Reliability,23,-0.89
,,,
Home Audio & Theater,Attitude,46,-0.546875
Meats,Tidiness,90,-0.872282609
Milk & Cream,Atmosphere,22,-1.238636364
Other OTC Meds,Quality/Reliability,21,-0.556818182
,,,
,,,
Paint & Primer,Receipt & Payment,14,-0.660714286
,,,
,,,
,,,
Luggage,Finding Help,11,-1.166666667
,,,
Quality/Reliability,Shower Accessories,15,-1.016666667
Willingness to Recommend,Warranty,11,-0.884615385
Style/Design,Tennis & Racquet,10,-0.818181818
Grains & Rice,Sufficient Floor Staff,14,-0.508928571
,,,
,,,
Fruit & Nuts,Discounts,32,-0.669117647
,,,
,,,
,,,
Hunting,Receipt & Payment,10,-1.75
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
On Display,Handicap Ready,1355,-1.198147681
Storage,Returns,242,0.515316206
Shopping Efficiency,Other Competitors,321,1.606153846
Office Supplies,Helpfulness,100,-0.795454545
Liability,In-Store Navigation,202,-1.622706422
Eye Center Department,Sufficient Registers,198,0.025
Other Competitors,Tidiness,686,0.589515583
Finding Items,Soup,167,-0.997093023
Glasses & Frames,Tidiness,61,-0.475641026
Ease of Checkout,Body Care,14,-1.75
Friendliness,Hair Care,69,-0.201086957
Seafood,Size,23,-0.215277778
,,,
Size,Promotions,169,-0.103940217
Above & Beyond,Non-Actionable,113,1.406798246
Receipt & Payment,Print,10,-1.05
Finding Items,Bikes & Riding Toys,63,-0.358208955
Live Plants & Goods,New Merchandise,33,0.700757576
Chips & Pretzels,In-Store Navigation,90,-0.442274306
,,,
Store Location,Seafood,68,-0.095930233
Concerns,Refunds,15,-1.296875
Cleanliness,Feelings,150,0.781666667
Renovations,Non-Actionable,55,-0.422727273
Liability,Sufficient Space,71,-1.751736111
Room to Shop,Appliances,34,-1.260416667
Food,Cart Quality,76,-1.317982456
Restrooms General,Drapery,19,-0.539473684
Eye Center Department,Noise,20,0.363095238
Bedding,On Display,54,-0.647727273
Spices,Friendliness,59,-0.197580645
Tidiness,Pain Killers,11,-2.166666667
,,,
Condiments,Discounts,21,-0.340909091
Seafood,Self-Checkout,45,-0.536458333
On Display,Floor Coverings,30,-0.915322581
Expectations,Store Pickup,22,-0.82
Quality/Reliability,Canned Fruit,22,-0.52
Shopping Efficiency,Ice Cream & Novelties,55,0.756465517
,,,
Spices,Restrooms General,22,-0.965909091
Condition,Injury,13,-0.669642857
Auto Electronics,Pricing/Value,24,0.060344828
Business Hours,Laundry,11,-0.480769231
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Condition,Willingness to Recommend,18,-0.0625
TV & Video,Warranty,35,-0.414473684
,,,
,,,
,,,
,,,
Exchanges,Prescription,11,0.125
Food,Noise,19,-1.171052632
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Other Produce,On Display,2413,-0.357326264
Variety,Calendars,123,-0.650925926
Fruit & Nuts,Product Availability,1312,-0.656589968
Juices & Sport Drinks,Product Availability,2653,-0.834738497
On Display,Food,213,-0.931320621
Handicap Ready,In-Store Navigation,1111,-0.933369565
Returns,Vegetable,234,-0.769011407
Hats,Sufficient Registers,36,-0.866071429
Bread,In-Store Navigation,264,-0.692010309
Target,Friendliness,794,0.489253615
New Merchandise,Blu Ray,45,-0.543478261
,,,
Lips,Finding Items,28,-0.794642857
Variety,Scarves,30,0.3984375
Eye Center Department,Size,11,0.447916667
Size,Liability,36,-1.344594595
In-Store Navigation,Yogurt,43,-0.835227273
As Advertised,Web,176,-1.163135593
Loyalty,Finding Help,157,0.129296875
Canned Fruit,Attitude,28,-0.040322581
,,,
Receipt & Payment,Dairy Department,11,-0.840909091
On Display,Valentines,70,-0.309210526
,,,
Speed of Service,Spices,88,-0.847527473
Concerns,Exchanges,20,-1.0625
iPods & MP3 Players,Product Availability,102,-0.678205128
Discounts,Bedding,57,0.792372881
Self-Checkout,Other Competitors,203,-0.309384735
On Display,Camping,34,-0.5625
Allergy Relief,Helpfulness,14,-0.708333333
Speed of Service,Dry Ingredients,42,-0.950581395
Product Availability,Floor Coverings,126,-0.958639706
Grill,Quality of Staff,69,-0.39084507
In-Store Navigation,Cookies,56,-0.960526316
Coupons,Web,24,0.052083333
Friendliness,Oil & Fluids,61,-0.530737705
Bread,Noise,41,-0.983695652
Feet,Sufficient Floor Staff,34,-0.641025641
Cleanliness,Skin Care,24,0.15625
Finding Items,Feet,58,-0.865530303
,,,
Other Competitors,Above & Beyond,65,0.967307692
,,,
,,,
Staff Appearance,Cakes,10,-0.857142857
,,,
,,,
,,,
Quality of Staff,iPods & MP3 Players,16,0.4140625
Reputation,Design,11,-0.653846154
,,,
,,,
Quality/Reliability,Service Plans,11,-1.625
,,,
,,,
,,,
Checkout Wait Time,Eyes,11,-0.727272727
,,,
,,,
,,,
,,,
Self-Checkout,Butter,11,-0.318181818
,,,
Tires,Listening,14,-0.839285714
Bottoms,Discounts,21,1.04
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Games,Shopping Efficiency,12,-0.083333333
Quality of Staff,Deciding Factors,579,-0.222060391
Sufficient Registers,Drapery,41,-1.464285714
Dairy Department,Odor,47,-1.52
Reputation,Sufficient Registers,191,-1.136210762
False Advertising,Product Availability,47,-1.632075472
Crackers,Friendliness,26,-0.230769231
Concerns,In-Store Navigation,186,-0.704273504
Soft Drinks,Quality/Reliability,266,-0.710824275
Finding Items,Soft Drinks,287,-0.770358306
Chips & Pretzels,Attitude,271,-0.393079096
Sufficient Floor Staff,Cell Phones,263,-0.888108614
Linens,Product Availability,57,-0.691780822
,,,
Dairy Department,Store Location,64,-0.466346154
Sufficient Registers,Live Plants & Goods,281,-1.192168339
Pasta & Noodles,Shopping Efficiency,21,0.386904762
Cart Availability,Deli Department,109,-1.351769912
Quality/Reliability,Floor Coverings,59,-0.156901042
Spices,Quality of Staff,85,-0.709770115
Quality of Staff,Bikes & Riding Toys,104,0.61391129
,,,
Friendliness,Frozen Bakery,13,0.125
Speed of Service,Body Care,70,-0.802816901
Sufficient Floor Staff,Patio,18,-1.055555556
Store Quality,Bedding,126,0.405330882
Canned Fruit,Friendliness,15,-0.1
,,,
Greeting,Coffee & Tea,104,-0.209782609
Photo Center General,Returns,60,-0.568181818
Self-Checkout,Auto Service,22,-1.34375
Video Games,Finding Items,67,0.054347826
Style/Design,Auto Service,41,-0.210227273
Body Care,Layout Consistency,35,0.322368421
Non-Actionable,New Merchandise,11,0.204545455
Noise,Hunting,16,-1.742647059
Speed of Service,False Advertising,14,-1.696428571
,,,
Helpfulness,Pastries,32,0.632142857
Cleanliness,"iPad, Tablets & eReaders",10,0.425
Features/Functionality,Hair Care,31,-0.714285714
,,,
Friendliness,Accessories,33,-0.045454545
Design,Cakes,30,-0.282894737
Pastries,Room to Shop,18,-0.25
Photo Center General,Communication Skills,28,-0.49137931
Prepared Foods,Self-Checkout,19,-0.157894737
Sufficient Space,Fertilizer & Soil,12,-0.395833333
,,,
New Merchandise,Condiments,16,-0.625
Willingness to Recommend,Renovations,19,-0.25
,,,
,,,
,,,
Lighting & Fans,On Display,59,-0.734615385
,,,
,,,
,,,
,,,
,,,
,,,
Receipt & Payment,Bathroom,21,-1.023809524
,,,
New Merchandise,Appliances,10,-1.204545455
,,,
,,,
Candy,Samples and Testers,13,0.428571429
Cell Phones,Noise,16,-1.421875
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Sports,Friendliness,464,-0.131276151
Shaving,Checkout Wait Time,47,-0.882653061
Sports,Fitting Rooms,27,-0.702586207
Friendliness,Loyalty,355,0.945203081
Sufficient Registers,Other Competitors,977,-0.52425
Liability,Sufficient Registers,278,-1.374351211
Live Plants & Goods,Sufficient Registers,281,-0.971207087
Coupons,Injury,32,-1.2421875
Finding Help,Eye Center Department,260,-0.091328413
"Jam, Jelly & Preserves",Tidiness,167,-1.485440341
Cart Availability,"Jam, Jelly & Preserves",40,-0.8828125
Tidiness,Bikes & Riding Toys,107,-1.146527778
Shaving,In-Store Navigation,31,-0.5
Games,Style/Design,15,-0.859375
Attitude,Feet,68,0.128205128
Discounts,Dry Ingredients,22,0.270833333
Store Location,Gasoline,82,0.282967033
Laundry,Knowledge,40,-0.69047619
Liability,Price Matching,20,-0.847826087
,,,
Dry Ingredients,Finding Items,119,-0.737704918
Checkout Wait Time,Literature,63,-1.107142857
Style/Design,Allergy Relief,42,-0.698863636
Quality of Staff,Body Care,69,0.293402778
Pricing/Value,Undergarments,112,-0.631532486
Finding Help,Butter,35,-0.964285714
Sufficient Floor Staff,Wall Hangings,56,-0.952586207
Feet,Speed of Service,53,-0.93442623
Finding Help,Paper,22,-0.96
,,,
,,,
Tidiness,Appliances,71,-1.268333333
Kitchen,Restrooms General,29,-1.133333333
,,,
Peanut Butter,On Display,16,-0.552631579
Greeting,Fishing & Marine,13,-0.25
Pasta & Noodles,In-Store Navigation,26,-0.805555556
,,,
Golf,Sufficient Registers,12,-1.115384615
Checkout Wait Time,Wall Hangings,59,-0.940277778
Juices & Sport Drinks,Coupons,48,-0.783333333
Bottoms,Checkout Wait Time,22,-0.700520833
,,,
Cart Quality,Juices & Sport Drinks,29,-1.029166667
Photo Center General,Receipt & Payment,12,-0.604166667
Restrooms General,Mix-Ins,14,0.303571429
Samples and Testers,Other Competitors,21,0.916666667
,,,
In-Store Navigation,Pudding & Jello,10,-1.6
,,,
,,,
,,,
,,,
Store Location,Oil & Fluids,20,-0.575
Greeting,Grill,15,0.233333333
,,,
,,,
,,,
Cleanliness,Pastries,10,0.0625
,,,
Luggage,Style/Design,10,-0.2875
,,,
Speed of Service,Calendars,15,-0.84375
Heating/Cooling,Hunting,10,-1
Shopping Efficiency,Stove & Oven,18,0.98125
,,,
Listening,Reputation,14,-0.116071429
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Photo Printing,Shopping Efficiency,14,0.983333333
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Paint & Primer,Quality/Reliability,216,-0.681139381
,,,
Cell Phones,Cleanliness,48,-0.803921569
Product Availability,Yogurt,2029,-0.857339255
Hunting,Finding Help,473,-0.824380857
Live Plants & Goods,Product Availability,1282,-0.481734765
Pricing/Value,Prescription,2947,-0.115688423
Sufficient Floor Staff,Kitchen,40,-1.028125
Store Quality,Cheese,461,0.026041667
Candy,Quality of Staff,168,-0.704741379
Skin Care,Cleanliness,24,-0.708333333
Home Audio & Theater,Speed of Service,34,-0.885416667
Garden Center General,Sufficient Floor Staff,369,-0.964666667
Store Location,Computers,104,-0.334782609
Business Hours,Concerns,114,-0.5625
Samples and Testers,Deli Department,135,-0.192857143
Speed of Service,Periodicals,91,-1.392287234
,,,
Sufficient Registers,Cookies,76,-1.030063291
Friendliness,Other Accessories,70,-0.132042254
Pork,Store Quality,142,-0.375
Wall Hangings,Store Quality,130,-0.212962963
Chips & Pretzels,Speed of Service,139,-0.789930556
Freezer Department,Quality of Staff,120,-0.335743802
Friendliness,Bottoms,21,-0.200520833
Miscellaneous Automotive Parts,Variety,72,-0.46474359
As Advertised,Fruit,41,-1.207317073
Finding Items,Tops,46,-0.573113208
,,,
Renovations,Pharmacy Department,47,-0.392156863
Ice Cream & Novelties,Friendliness,68,-0.380357143
Ease of Parking,Feelings,27,-0.790178571
,,,
On Display,Seafood,167,-0.526515152
Finding Help,Other Chemicals,20,-0.1
Shopping Efficiency,Paper,16,1.558823529
Yogurt,Design,10,-0.15
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Water,Receipt & Payment,14,-0.78125
Friendliness,Nails,15,0.383333333
,,,
Honesty / Trust,Warranty,19,-0.095238095
,,,
Scarves,Variety,30,0.440789474
,,,
,,,
,,,
,,,
Features/Functionality,Furniture,14,-0.125
,,,
,,,
,,,
,,,
,,,
,,,
Grains & Rice,Discounts,11,1.227272727
,,,
,,,
,,,
Other OTC Meds,Store Location,18,-0.986842105
,,,
New Merchandise,Home Audio & Theater,10,1.6
Periodicals,Layout Consistency,10,-0.683333333
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Tidiness,Other Produce,3590,-1.034397822
Promotions,Ease of Checkout,306,-0.200537634
Soft Drinks,Returns,149,-0.68128882
Product Availability,Syrups,271,-1.070148601
Tidiness,Cheese,224,-1.244047619
Friendliness,Christmas,475,0.500640369
Style/Design,"Jam, Jelly & Preserves",182,-0.595190603
Variety,Soup,636,-0.843171296
Helpfulness,Crackers,56,-0.237068966
Target,Room to Shop,628,-0.02240566
Periodicals,Discounts,88,0.115691489
Injury,Cart Availability,159,-1.247528249
Tidiness,Food & Formula,77,-1.025462963
Finding Help,Auto Service,109,-0.627717391
Friendliness,Gasoline,61,-0.138671875
Quality of Staff,Skin Care,40,0.225609756
Wall Hangings,Finding Help,73,-0.722039474
Deli Department,Knowledge,519,-0.652492212
Sports,Communication Skills,55,-0.616071429
Pricing/Value,Butter,463,-0.224131944
Handicap Ready,New Merchandise,45,-1.052777778
Tops,Tidiness,115,-1.044763514
Yogurt,Quality/Reliability,114,-0.786414566
Sufficient Registers,Juices & Sport Drinks,182,-1.140625
,,,
,,,
TV & Video,Price Matching,61,-0.827464789
Returns,Cameras & Camcorders,52,-0.744565217
On Display,Ice Cream & Novelties,55,-0.762711864
Sufficient Registers,Body Care,139,-1.498287671
Tools,Greeting,24,-0.558035714
,,,
Refunds,Food,16,-1.6171875
Body Care,Speed of Service,70,-0.698630137
Cheese,Self-Checkout,48,-0.583333333
Tires,Cleanliness,33,-0.507575758
New Merchandise,Deli Department,21,-0.791666667
,,,
Quality of Staff,"iPad, Tablets & eReaders",84,0.055263158
Tennis & Racquet,Product Availability,49,-0.759920635
Receipt & Payment,Cookies,13,-0.633928571
Coffee & Tea,Heating/Cooling,18,-0.486842105
Soup,Self-Checkout,18,-0.723684211
Deciding Factors,Restrooms General,47,-0.596153846
Ease of Checkout,Chips & Pretzels,17,-2.013888889
Speed of Service,Photo Printing,93,-1.18814433
Freezer Department,Restrooms General,28,-0.732142857
Other Chemicals,Tidiness,75,-0.95494186
Glasses & Frames,Room to Shop,28,-1.185344828
Litter,In-Store Navigation,19,-0.971590909
,,,
Room to Shop,Peanut Butter,29,-1.668103448
Dishes,Samples and Testers,10,-1.363636364
Room to Shop,Toys,11,-1.545454545
Pharmacy Department,Financing,12,-0.416666667
,,,
Self-Checkout,Bedding,17,-0.777777778
,,,
News Coverage,Pricing/Value,10,-0.552083333
,,,
,,,
,,,
,,,
Pillows,Quality of Staff,16,-0.6328125
,,,
,,,
Samples and Testers,Meats,33,0.037878788
Eye Center Department,Design,14,0.803571429
,,,
,,,
,,,
Glasses & Frames,Communication Skills,13,0.461538462
In-Store Navigation,Blu Ray,14,-0.666666667
,,,
Coupons,False Advertising,16,-1.015625
,,,
Sunglasses,Checkout Wait Time,10,-1.45
Eggs,Above & Beyond,10,-0.166666667
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Handicap Ready,Attitude,2003,-0.395218291
Store Quality,Eye Center Department,552,1.620659722
Eye Center Department,Discounts,95,0.6796875
Style/Design,Books,347,-0.270781893
Coffee & Tea,Friendliness,131,-0.329963235
Speed of Service,Handicap Ready,1642,-1.088498046
Gasoline,Product Availability,497,-0.82484948
Variety,Toys,121,-0.62704918
Store Quality,Garden Center General,431,0.127097315
Room to Shop,Computers,267,-1.23540146
Attitude,Body Care,158,-0.173951943
Finding Help,Loyalty,157,-0.296576433
,,,
Noise,Soft Drinks,30,-1.441666667
Bagging,Pastries,28,-0.330078125
,,,
Shopping Efficiency,"Beer, Wine & Spirits",97,1.208333333
On Display,Tires,55,-0.333928571
Knowledge,Utilities,29,-0.594827586
Finding Help,Food & Formula,40,-0.65
iPods & MP3 Players,Quality/Reliability,10,0.125
Finding Help,Canned Vegetables,10,0.4
Friendliness,Spices,59,0.776639344
Returns,Other Accessories,55,-0.521929825
Books,Samples and Testers,11,-0.895833333
Eggs,Room to Shop,153,-1.240441176
Quality of Staff,Beef,162,-0.034090909
,,,
Deciding Factors,Ease of Checkout,125,-1.288690476
Other Produce,Size,197,-0.403266332
Frozen Meals,Returns,20,-0.293478261
Quality/Reliability,False Advertising,17,-1.352941176
Bedding,In-Store Navigation,76,-0.421511628
Quality of Staff,Video Games,119,0.241735537
Print,Sufficient Floor Staff,71,-0.888888889
Frozen Bakery,Helpfulness,16,0
Communication Skills,Candy,25,-0.913461538
Exercise & Fitness,Attitude,16,-0.169117647
Eyes,Coupons,12,-0.638888889
Photo Printing,Variety,38,-0.719512195
Beef,Lighting,10,-0.55
Cigarettes,Store Location,17,-0.441176471
Style/Design,Bracelets,23,-0.036458333
Sufficient Registers,Butter,82,-1.022590361
Finding Items,Exercise & Fitness,12,1.208333333
,,,
Ease of Checkout,"Beer, Wine & Spirits",43,-1.528645833
,,,
Greeting,Dairy Department,85,-0.239109848
Attitude,Paper,57,-0.317460317
Features/Functionality,Crafting,34,1.013513514
,,,
Cart Availability,Drapery,14,-0.848214286
,,,
On Display,Earrings,16,-0.333333333
Lighting,Live Plants & Goods,14,-1.5625
,,,
,,,
,,,
,,,
Design,Yogurt,10,0.090909091
,,,
,,,
,,,
Condiments,Returns,19,-0.8375
GPS,On Display,14,-0.616666667
,,,
Belts,Returns,13,-1.017857143
,,,
,,,
,,,
Lighting,Freezer Department,11,-0.977272727
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Attitude,Deli Department,3158,-0.280770285
Pharmacy Department,Helpfulness,5330,0.69551367
Books,Variety,2495,-0.382849373
Variety,Bathroom,393,-0.788151997
Hunting,Variety,1856,-0.599686606
Finding Items,Food,492,-0.595330739
Variety,Hair Care,691,-0.126021242
Friendliness,Promotions,1887,0.538915899
Pharmacy Department,Sufficient Floor Staff,2283,-1.016560401
Speed of Service,Expectations,1170,-0.540452562
Butter,Speed of Service,55,-1
Tidiness,Concerns,215,-1.517201835
Variety,Tops,521,-0.90338958
Attitude,Service Plans,49,0.479591837
Eye Center Department,Above & Beyond,123,1.330792683
Dairy Department,Quality/Reliability,240,-0.674866131
Deciding Factors,Checkout Wait Time,1069,-1.18335041
Style/Design,Injury,201,-0.806330906
Bagging,Bedding,18,0
Cameras & Camcorders,Quality of Staff,148,0.022203947
Sufficient Registers,Paint & Primer,214,-1.291933761
Cart Availability,Live Plants & Goods,67,-0.945422535
Finding Help,Literature,45,-0.608695652
Pastries,Bagging,28,-0.479166667
On Display,Purses,22,-0.791666667
Honesty / Trust,Finding Items,174,-0.719815341
Coupons,Print,201,-0.381441224
Expectations,Express Lanes,86,-0.544736842
Shaving,Speed of Service,97,-1.167067308
,,,
Bathroom,Shopping Efficiency,75,0.113636364
,,,
In-Store Navigation,Paper,20,-0.537698413
Cookies,Bagging,30,-0.931818182
Food & Formula,Quality of Staff,50,-0.862980769
TV & Video,Above & Beyond,38,0.677631579
Store Quality,Canned Fruit,36,-0.131756757
Weed & Fungus Control,Pricing/Value,20,-1.577586207
Sufficient Floor Staff,Bottoms,20,-0.2875
Listening,Fruit,24,-0.711538462
Undergarments,Staff Appearance,10,-0.916666667
,,,
Wall Hangings,Finding Items,76,-0.413961039
Lips,Variety,53,-0.677419355
Lighting & Fans,Attitude,84,-0.667582418
,,,
Store Pickup,Christmas,25,-0.46
Ice Cream & Novelties,Lighting,10,-0.925
Checkout Wait Time,Cameras & Camcorders,72,-1.31
Prepared Foods,Room to Shop,27,-0.827586207
Purses,Finding Help,13,-0.875
,,,
,,,
Shopping Efficiency,Sunglasses,10,0.386363636
Receipt & Payment,Christmas,54,-0.723214286
Paint & Primer,Business Hours,14,-0.366071429
Gifts,On Display,17,-0.277777778
,,,
,,,
,,,
Office Supplies,Bagging,15,-0.96875
,,,
,,,
,,,
,,,
,,,
,,,
Halloween,Noise,10,-1.090909091
,,,
,,,
,,,
,,,
,,,
"Beer, Wine & Spirits",Heating/Cooling,21,-0.446428571
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Speed of Service,Promotions,2177,-0.708624073
Fruit,Shopping Efficiency,330,0.767839321
Deli Department,Checkout Wait Time,1306,-1.216721976
Store Quality,Christmas,1228,0.695957907
Injury,Noise,82,-1.636363636
Dairy Department,Tidiness,542,-1.028438581
Hunting,Knowledge,215,-0.469170404
Glasses & Frames,Pricing/Value,285,0.086372847
Deciding Factors,In-Store Navigation,174,-0.86354712
Christmas,Discounts,454,0.380349687
Expectations,Tidiness,901,-0.508891485
Store Quality,Earrings,14,1.166666667
Cart Quality,Injury,177,-1.097375691
Pricing/Value,Floor Coverings,179,0.04835924
Store Quality,Wall Hangings,130,0.454379562
Cleanliness,Deli Department,291,-0.025710702
Oral Care,Sufficient Floor Staff,23,-0.934782609
Camping,Friendliness,31,-0.4375
