NODE_ID,NODE_NAME,parent,SENTIMENT_SCORE,TOTAL_DOCUMENTS,DETRACTOR_DOCUMENTS,DETRACTOR_SENTIMENT,PROMOTER_DOCUMENTS,PROMOTER_SENTIMENT,NEUTRAL_DOCUMENTS,NEUTRAL_SENTIMENT
117579,Feet,117569,-0.907608696,132,29,-1.008333333,55,-0.898305085,48,-0.857142857
117584,Outerwear,117569,-0.596153846,26,5,-0.6,14,-0.589285714,7,-0.607142857
117589,Swimwear,117569,-0.892857143,7,2,-0.5,2,-1,3,-1.083333333
117594,Tops,117569,-1.03515625,64,16,-1.484375,27,-0.796296296,21,-1
117599,Undergarments,117569,-1.1875,12,4,-2,6,-0.833333333,2,-0.625
117604,Boys,117537,-0.882157464,478,122,-0.900406504,194,-0.783629442,162,-0.983727811
117607,Bottoms,117604,-0.998,124,24,-1.104166667,52,-0.701923077,48,-1.260204082
117613,Feet,117604,-1.001838235,199,51,-0.975961538,83,-0.969117647,65,-1.063432836
117619,Outerwear,117604,-0.625,21,8,-0.65625,6,-0.375,7,-0.78125
117625,Swimwear,117604,-0.291666667,12,4,-0.5,4,-0.625,4,0.25
117631,Tops,117604,-0.773148148,108,28,-0.982142857,42,-0.672619048,38,-0.730263158
117637,Undergarments,117604,-0.74375,39,12,-0.229166667,14,-0.678571429,13,-1.25
117643,Girls,117537,-0.71440583,440,116,-0.95,185,-0.563844086,139,-0.7125
117646,Bottoms,117643,-0.846036585,81,27,-0.892857143,34,-0.617647059,20,-1.16875
117652,Feet,117643,-0.715116279,172,44,-1.244318182,71,-0.378521127,57,-0.725877193
117658,Outerwear,117643,-0.525,20,8,-0.78125,8,-0.15625,4,-0.75
117664,Swimwear,117643,0.043478261,23,5,-0.4,14,0.214285714,4,0
117670,Tops,117643,-0.810661765,135,25,-0.865384615,61,-0.87295082,49,-0.704081633
117676,Undergarments,117643,-0.836956522,44,14,-0.75,13,-1.288461538,17,-0.573529412
117682,Jewelry,117537,-0.574473684,926,281,-0.949658703,393,-0.247208437,252,-0.660925197
117685,Bracelets,117682,0.018292683,40,7,-0.78125,25,0.2,8,0.25
117690,Earrings,117682,-0.346311475,171,54,-0.59375,77,-0.170731707,40,-0.335365854
117695,Necklaces,117682,-0.308712121,64,17,-1.034722222,26,0.25,21,-0.375
117700,Rings,117682,-0.554545455,55,11,-1.318181818,27,-0.412037037,17,-0.286764706
117707,Watches,117682,-0.701534733,614,195,-1.031725888,250,-0.343873518,169,-0.852071006
117714,Men's,117537,-0.915801016,2121,527,-0.993703358,874,-0.817264574,720,-0.978319783
117717,Bottoms,117714,-1.033762058,615,143,-1.002586207,258,-1.0598659,214,-1.023148148
117723,Feet,117714,-1.022556391,654,173,-0.99132948,267,-0.875456204,214,-1.232224771
117729,Outerwear,117714,-0.938461538,64,14,-0.928571429,30,-0.991666667,20,-0.869047619
117735,Swimwear,117714,-1.051136364,22,6,-1,9,-1.055555556,7,-1.089285714
117741,Tops,117714,-0.834045031,639,161,-1,266,-0.617977528,212,-0.977219626
117747,Undergarments,117714,-0.695787293,355,93,-1.129032258,137,-0.551785714,125,-0.539728682
117753,Womens,117537,-0.914727079,2083,423,-0.943327506,953,-0.821649485,707,-1.023535565
117756,Bottoms,117753,-0.926897321,444,94,-0.981958763,217,-0.96559633,133,-0.823308271
117762,Feet,117753,-0.987528345,869,157,-0.98971519,405,-0.810670732,307,-1.217356688
117768,Outerwear,117753,-1.321428571,14,3,-1.333333333,7,-1.535714286,4,-0.9375
117774,Swimwear,117753,-0.631818182,55,13,-0.961538462,26,-0.490384615,16,-0.59375
117780,Tops,117753,-0.749727669,454,81,-0.655120482,228,-0.68423913,145,-0.906678082
